Z,W,X,Y
0,-0.155644392,-0.49697145,0.2824838529355602
1,0.5295394672727944,2.2842402230339225,4.740595930430722
1,0.9105140005310582,0.8722323180742597,3.449569370801172
1,-0.705475859,2.1572599132946895,3.0025305306216556
0,-0.59087443,-0.386730497,-1.84879579
1,0.5336349835605357,0.9816491755682141,1.8665664868504017
0,1.293240916738851,-0.041747754,2.427691504402408
0,0.24344508084828428,-0.113451513,-0.177195593
0,-0.714465425,-0.129564223,1.673640531107548
1,-1.54813002,0.12684360169011133,-0.379817539
1,-1.433110782,1.0848977940665279,-0.413437136
1,-0.466279907,-0.252970709,-1.710366649
0,0.8834527206263356,0.3991305463868205,1.9159926591174152
0,-0.265303599,-1.123179622,-1.641303197
1,0.9845615654244511,1.5503095154047393,3.604623013436382
1,-0.098030286,0.618625167,0.067573339
1,-0.394677118,2.242716254394015,3.4109387142112606
0,-0.474817912,-0.338345778,-1.200836669
0,-0.062277215,-1.073158899,-2.176801779
0,-0.411213526,-0.162518803,1.1794622214667116
0,-0.153309008,0.4744831073386306,1.338854417121094
0,-0.066312468,-0.293132685,-2.269944346
1,-0.117300178,0.8013870678719549,2.352801631055134
0,-0.265293816,0.6327548723919733,3.572278535351207
1,-0.856440749,1.1570583946817128,1.5300493159940556
0,0.8338979913300157,-1.0857998,-1.871558876
1,1.0517215835389555,-0.561727272,0.27240348675984366
0,-0.570444154,1.6654698534614352,2.174896117213394
1,1.2124280623500856,0.5332285002054917,2.2570192699200606
0,0.13934657246161047,0.6263344711966493,0.9664630925544457
1,0.38354291740398444,1.3892710613667423,2.299841042589345
1,0.6631353799227195,1.2923826097546427,2.264768149848639
1,-0.403117678,0.5978475444619533,-0.070457129
1,0.44983971272249057,0.41241059210375597,0.20622935347199967
0,-0.804350904,1.902298177064296,1.6295638931159047
0,1.266438667223217,-0.479889112,0.4406967652874683
0,0.5399246258491138,0.9746915775200715,1.9037278014967294
0,0.5093734123314416,0.5350485925076821,0.9936740204686507
0,-0.322835277,-0.301086528,-0.691496356
1,0.8732091778297524,0.6618258186726497,2.032221362035316
1,1.365798852556935,1.8556819043097743,2.259068320951784
1,-0.711025271,0.024828625558442008,-1.421070784
1,-0.622050576,-0.227262766,-0.707454898
0,-2.511560574,1.4206508253564183,0.11145763589684693
1,-1.008589921,-0.230945287,-0.720605526
1,-0.192281571,0.40177529641484744,1.7955661636966735
1,-0.977483848,2.607713512121376,3.047696318191368
0,-0.182400157,-0.471293145,-1.139623795
0,-0.160511749,3.371111978004113,5.893368393270821
1,-1.296127261,0.5140165242017207,0.3098180108465154
0,-0.848118978,-0.237787407,-2.196966378
1,2.1733887203188478,1.9751736801633897,3.7693393491111475
0,1.3470647092979633,-0.107819612,0.8230144190433997
0,-0.250177581,0.8359063250803216,-0.8899949
1,-0.477752136,0.2809454665787946,-0.087106651
0,-1.220652899,0.9873885705430212,0.8725597418389258
0,-1.93160949,0.2526512059548594,-1.25260599
0,-0.37831909,-0.829998355,-2.172240823
0,0.2724834309462347,-1.177557853,-0.982261517
1,2.475319886862105,-0.379374932,1.9429600366067614
1,1.0556315019943199,1.4536635230903172,4.744608977
1,1.7651303340424849,2.7126194801555563,5.751059831557082
0,1.3019477444363625,-0.424459249,0.5505594141453604
1,0.9421032273752861,1.557276519165231,2.968748842383086
1,1.323573027707912,2.086043630553655,5.121973554922576
0,0.3807649610112989,0.25922482402875285,0.703237233
0,-0.266344456,0.150345289,-1.158869554
1,0.20241562258556287,2.2322106982657877,3.235426473950558
1,0.20224257174507063,1.6952602433764081,3.1183353944918473
0,-0.145306527,-0.165917906,0.5910245373472941
0,-0.186281309,0.094694424,0.061686125
1,0.2106701151621404,1.342654572785833,2.486945711393155
0,-1.063740095,-0.100402706,-1.690336655
1,0.6470427510653276,1.2829281164214739,-0.928361741
0,-0.954542324,-1.080739313,-1.631166646
1,-0.738955226,2.3910578109141407,4.146624410130465
0,0.3152096659488781,-2.315019397,-4.842828213
0,-0.090256351,-0.645917235,-0.914972382
1,-0.786941921,1.2223619480768075,2.0383897689699744
0,-1.538797088,0.082501018,-1.792761427
1,0.3282211537553192,1.1630906735628095,1.9434524781116784
0,-0.96865575,-1.388559319,-2.484611973
0,0.3073844995680873,0.4942172602225525,0.057637379
1,1.1653031746006681,0.9777246744083118,3.499652629424597
0,-1.235559427,-0.501773491,-1.750175844
1,0.13231634829783948,1.5966045304418297,2.5676114718044007
0,-0.837595701,-0.244632338,-2.869755139
1,-0.723615876,1.6578839083577117,2.326597162
0,-0.581820355,-1.913520891,-3.694722859
1,-0.383709905,0.31145000960418767,0.8774980793843392
0,-0.772402359,0.5650204064755059,-0.506028341
1,0.098182749,-1.807025503,-3.203996072
0,-0.245473132,-0.83944908,-0.446019263
0,1.3886468507787562,0.760052282,3.550847773727117
0,0.48345444834181245,-0.667581074,-2.577879012
0,-0.158681163,1.1698035162689406,-0.033914918
0,-1.103515122,1.024195442552698,0.097894456
0,-0.443904151,-0.459361111,0.1618546291147671
1,1.1213287856211998,0.9845679129027846,2.0675658645932584
1,0.058195627,1.1889459214833855,1.7043873419923006
1,-0.506380316,1.0381930273339208,0.267362379
1,-1.016553649,-0.272606578,-3.828781185
1,-0.199444009,-0.922933941,-2.431779484
1,0.3820998078911059,-0.763809081,-2.027665988
0,-1.591391399,0.47507225947474707,-2.438394274
0,1.566773968445406,-0.160123136,0.35003867868066396
1,-0.851908551,1.1824928426664445,-0.500538025
1,-0.018959443,-0.051993306,-0.171096731
0,0.011848251931710988,-0.080403823,-0.2161848
0,-0.788523759,0.43861173745663584,0.5642748090808273
1,-1.374152815,-0.67684058,-2.776731231
0,1.8722134412754468,-0.253556295,1.6859038045492762
0,-0.505297273,0.11901109898057814,0.051268564
1,0.6121227622874228,1.1755082414772626,2.413261299339265
0,-0.887521772,-0.612678911,-0.781559474
1,0.4340352219525128,-0.039596183,3.074120602740838
1,0.48546327317369053,1.0043460336381134,3.2437985088475867
1,0.9286233048057094,2.2534403706576986,4.149229925342307
1,-0.644311784,-1.176213029,-0.957248303
0,2.4151940674017798,1.538429587805376,6.123106179564081
0,0.35858981585969757,-0.497176557,-2.636424186
0,-0.551146284,-0.354459975,0.5295509443502417
0,2.6024653748818176,0.6053672459759726,3.6810630485764992
1,-1.309988777,1.001912906755127,1.2209504041059527
1,0.9388285768370028,1.169381346,1.9946163628870783
0,-0.377477073,0.6494162220373829,-0.174671149
0,-0.315039197,0.7866191227764021,0.9119039381498154
1,0.1256875652761179,3.2662726370905144,4.911538175861167
1,1.7136034318394553,0.33418864395128156,1.4390068097904023
0,0.8191723292024355,1.1136268322413136,3.3243650879489985
1,0.07886207,1.6394535126563274,3.4283778054989154
1,-2.631738497,0.9221779966805149,-1.370041622
0,0.4554423357395286,-0.72635597,-1.053044302
1,0.9305511814049384,1.1309643874977708,3.931304274866739
1,-1.470688388,1.5721346054861316,0.6308692943950024
0,0.4837123158087587,-1.851750537,-1.338934576
1,2.2237941892053232,2.3722417359516896,5.180171538250336
1,1.2409810944875392,3.5508227832649033,7.271905664325316
0,0.47949495059037917,-0.824168146,0.3063847544342089
1,-1.154392414,1.0298503377288781,0.44435789968086187
1,-0.528077674,0.38679351515820737,0.1857952116897452
0,0.49082740793966223,-0.462850133,-0.221295752
0,-0.58417602,-0.867519152,-1.985243648
0,1.1409111923804223,-0.310522551,1.8981268939577545
1,-0.800677036,2.9980308380795373,4.389683157577607
0,-0.660381983,-0.904064934,-2.028094069
1,-2.620711134,-0.089705268,-1.760287183
1,0.5663958736401078,2.251551590384153,2.702629357683943
0,1.909238318205732,0.8902272771276403,3.962835775955665
1,0.7411872700094876,1.334666947760215,2.890345564
0,-1.042599336,0.045350028,-1.185929238
0,0.5249417820179505,1.2687053255248735,3.389046377231276
1,-1.04254628,1.5849526687104096,1.383352904644727
0,-0.633921686,-0.864207204,-1.656924942
0,-0.158554782,0.8446978464440884,1.8975792305063623
0,-1.080713098,0.2996467360011776,-0.704651799
0,-0.610741275,-0.218625469,-0.835426289
0,0.96210944,-0.460808022,-0.779402306
0,-1.512153309,-0.451591928,-3.104947949
1,-0.081719207,1.542867200156766,2.8257431805858544
0,-0.760797847,-0.43033753,-1.260507895
1,0.6197494050518704,1.253935710055037,1.5763513544483132
1,-0.055262736,-0.624022525,-1.300538363
0,-0.209217992,1.2852918699630267,2.3092413740102646
1,2.1708282264522314,0.6932637086538704,3.6867005467324576
0,-1.428338817,-0.030685943,-1.94235334
1,-0.725359863,2.7614472158244467,3.5517830599747913
0,-0.870854975,0.3135339550343574,-0.579658148
1,-0.463998561,1.2933885533067722,2.622453183
1,-2.117509186,0.8812485582032136,0.20497157633118102
1,1.0600891359909803,0.025461940188492793,1.1643457009991536
1,-0.613189939,0.08962114,-0.853886105
1,0.8256230357614796,-0.180371887,1.6284869742974986
0,0.19330845652856019,0.7525780785337469,1.4077172108955307
